Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
1.36,1.387333,1.336667,1.368667,1.368667,6279000,2010,9,27,0,1.3375556666666668,1.3535240000000002,0.05066599999999988,0.028666999999999998,49.93716957422482,0.004320789601919506,-503310000.0
1.402667,1.432667,1.384,1.426667,1.426667,18217500,2010,9,28,1,1.3784446666666668,1.3646668571428573,0.048667000000000016,0.05799999999999983,52.95515232323519,0.009267793208515895,-485092500.0
1.412667,1.468667,1.408667,1.465333,1.465333,29539500,2010,9,29,2,1.4202223333333333,1.3734287142857142,0.06000000000000005,0.03866600000000009,57.17510906816633,0.016122502094498392,-455553000.0
1.466667,1.476667,1.346,1.360667,1.360667,32937000,2010,9,30,3,1.4175556666666667,1.3700001428571429,0.13066699999999987,-0.10466599999999993,51.214579816112625,0.01295984379041637,-488490000.0
1.379333,1.383333,1.354,1.373333,1.373333,8965500,2010,10,1,4,1.3997776666666668,1.3769524285714285,0.02933299999999983,0.012665999999999844,49.369745251030466,0.011344680232626692,-479524500.0
1.362,1.411333,1.353333,1.399333,1.399333,9654000,2010,10,4,0,1.3777776666666666,1.3905714285714286,0.05800000000000005,0.026000000000000023,49.31647941551774,0.012024028667604991,-469870500.0
1.41,1.418667,1.400667,1.408,1.408,4980000,2010,10,5,1,1.3935553333333333,1.4002857142857141,0.017999999999999794,0.00866699999999998,45.10251464555951,0.013110640362615111,-464890500.0
1.404,1.417333,1.354667,1.364,1.364,4701000,2010,10,6,2,1.3904443333333336,1.399619,0.06266599999999989,-0.04399999999999982,47.14284693873908,0.010302593794744075,-469591500.0
1.371333,1.376,1.356,1.362,1.362,2115000,2010,10,7,3,1.3780000000000001,1.390380857142857,0.019999999999999796,-0.0020000000000000018,51.29530859879728,0.007825604674107423,-471706500.0
1.362,1.386,1.359333,1.362,1.362,4017000,2010,10,8,4,1.362666666666667,1.3756190000000001,0.026666999999999996,0.0,45.42814347792012,0.0057957630021088224,-471706500.0
1.362667,1.38,1.338,1.349333,1.349333,2568000,2010,10,11,0,1.3577776666666665,1.373999857142857,0.041999999999999815,-0.012667000000000206,46.09712238162352,0.0031289096921143233,-474274500.0
1.346667,1.352,1.335333,1.349333,1.349333,3660000,2010,10,12,1,1.3535553333333332,1.3705712857142858,0.016666999999999987,0.0,53.14083725099701,0.0010038376151431105,-474274500.0
1.376,1.39,1.357333,1.369333,1.369333,4773000,2010,10,13,2,1.3559996666666665,1.3662855714285713,0.032667,0.020000000000000018,58.33331207477569,0.0009228969552352861,-469501500.0
1.4,1.402,1.36,1.383333,1.383333,4422000,2010,10,14,3,1.3673330000000001,1.3627617142857142,0.041999999999999815,0.014000000000000012,55.855826637369276,0.0019657736808886828,-465079500.0
1.392667,1.393333,1.35,1.369333,1.369333,4270500,2010,10,15,4,1.3739996666666665,1.3635235714285712,0.043332999999999844,-0.014000000000000012,50.09371517341526,0.0016436312445100576,-469350000.0
